date,temperature,humidity,luminosity
2023-12-07 15:30:04.926,21.2,35.3,144
2023-12-07 15:30:03.926,21.2,35.3,146
2023-12-07 15:30:02.918,21.2,35.3,143
2023-12-07 15:30:01.919,21.2,35.3,143
2023-12-07 15:30:00.907,21.2,35.3,145
2023-12-07 15:29:59.907,21.2,35.3,145
2023-12-07 15:29:58.900,21.2,35.3,145
2023-12-07 15:29:57.896,21.2,35.3,145
2023-12-07 15:29:56.889,21.2,35.2,145
2023-12-07 15:29:55.889,21.2,35.2,145
2023-12-07 15:29:54.882,21.2,35.2,145
2023-12-07 15:29:53.878,21.2,35.2,145
2023-12-07 15:29:52.870,21.2,35.2,145
2023-12-07 15:29:51.871,21.2,35.2,146
2023-12-07 15:29:50.859,21.2,35.2,145
2023-12-07 15:29:49.860,21.2,35.2,146
2023-12-07 15:29:48.852,21.2,35.1,146
2023-12-07 15:29:47.848,21.2,35.1,145
2023-12-07 15:29:46.841,21.2,35.1,146
2023-12-07 15:29:45.841,21.2,35.1,146
2023-12-07 15:29:44.833,21.2,35.1,146
2023-12-07 15:29:43.830,21.2,35.1,146
2023-12-07 15:29:42.822,21.2,35.1,145
2023-12-07 15:29:41.819,21.2,35.1,146
2023-12-07 15:29:40.811,21.2,35.0,145
2023-12-07 15:29:39.811,21.2,35.0,145
2023-12-07 15:29:38.804,21.2,35.0,145
2023-12-07 15:29:37.800,21.2,35.0,146
2023-12-07 15:29:36.792,21.2,34.9,146
2023-12-07 15:29:35.793,21.2,34.9,146
2023-12-07 15:29:34.781,21.2,34.8,146
2023-12-07 15:29:33.781,21.2,34.8,146
2023-12-07 15:29:32.774,21.2,34.8,146
2023-12-07 15:29:31.770,21.2,34.8,145
2023-12-07 15:29:30.763,21.2,34.7,146
2023-12-07 15:29:29.763,21.2,34.7,146
2023-12-07 15:29:28.756,21.2,34.6,147
2023-12-07 15:29:27.752,21.2,34.6,146
2023-12-07 15:29:26.744,21.2,34.6,147
2023-12-07 15:29:25.745,21.2,34.6,146
2023-12-07 15:29:24.733,21.2,34.5,146
2023-12-07 15:29:23.734,21.2,34.5,146
2023-12-07 15:29:22.726,21.2,34.5,146
2023-12-07 15:29:21.722,21.2,34.5,146
2023-12-07 15:29:20.715,21.2,34.5,147
2023-12-07 15:29:19.715,21.2,34.5,147
2023-12-07 15:29:18.707,21.2,34.5,146
2023-12-07 15:29:17.704,21.2,34.5,146
2023-12-07 15:29:16.696,21.2,34.5,145
2023-12-07 15:29:15.693,21.2,34.5,145
2023-12-07 15:29:14.685,21.2,34.6,146
2023-12-07 15:29:13.686,21.2,34.6,146
2023-12-07 15:29:12.678,21.2,34.6,146
2023-12-07 15:29:11.674,21.2,34.6,147
2023-12-07 15:29:10.667,21.2,34.7,146
2023-12-07 15:29:09.667,21.2,34.7,147
2023-12-07 15:29:08.655,21.2,34.7,145
2023-12-07 15:29:07.655,21.2,34.7,146
2023-12-07 15:29:06.648,21.2,34.7,146
2023-12-07 15:29:05.644,21.2,34.7,146
2023-12-07 15:29:04.637,21.2,34.7,146
2023-12-07 15:29:03.641,21.2,34.7,147
2023-12-07 15:29:02.633,21.2,34.7,149
2023-12-07 15:29:01.629,21.2,34.7,148
2023-12-07 15:29:00.622,21.2,34.7,147
2023-12-07 15:28:59.623,21.2,34.7,147
2023-12-07 15:28:58.611,21.2,34.6,146
2023-12-07 15:28:57.611,21.2,34.6,146
2023-12-07 15:28:56.603,21.2,34.7,146
2023-12-07 15:28:55.600,21.2,34.7,146
2023-12-07 15:28:54.592,21.2,34.7,146
2023-12-07 15:28:53.593,21.2,34.7,147
2023-12-07 15:28:52.585,21.2,34.7,146
2023-12-07 15:28:51.582,21.2,34.7,146
2023-12-07 15:28:50.574,21.2,34.7,146
2023-12-07 15:28:49.570,21.2,34.7,146
2023-12-07 15:28:48.563,21.2,34.7,147
2023-12-07 15:28:47.563,21.2,34.7,146
2023-12-07 15:28:46.555,21.2,34.7,147
2023-12-07 15:28:45.552,21.2,34.7,147
2023-12-07 15:28:44.544,21.2,34.8,146
2023-12-07 15:28:43.544,21.2,34.8,146
2023-12-07 15:28:42.537,21.2,34.8,145
2023-12-07 15:28:41.533,21.2,34.8,145
2023-12-07 15:28:40.525,21.2,34.8,146
2023-12-07 15:28:39.522,21.2,34.8,147
2023-12-07 15:28:38.514,21.2,34.9,147
2023-12-07 15:28:37.515,21.2,34.9,147
2023-12-07 15:28:36.507,21.2,34.9,146
2023-12-07 15:28:35.503,21.2,34.9,147
2023-12-07 15:28:34.496,21.2,35.0,146
2023-12-07 15:28:33.496,21.2,35.0,146
2023-12-07 15:28:32.489,21.2,35.0,146
2023-12-07 15:28:31.485,21.2,35.0,146
2023-12-07 15:28:30.477,21.2,35.0,147
2023-12-07 15:28:29.474,21.2,35.0,147
2023-12-07 15:28:28.466,21.2,35.0,147
2023-12-07 15:28:27.467,21.2,35.0,147
2023-12-07 15:28:26.459,21.2,35.1,146
2023-12-07 15:28:25.456,21.2,35.1,147
2023-12-07 15:28:24.448,21.2,35.0,148
2023-12-07 15:28:23.444,21.2,35.0,147
2023-12-07 15:28:22.436,21.2,35.0,147
2023-12-07 15:28:21.437,21.2,35.0,146
2023-12-07 15:28:20.429,21.2,35.0,147
2023-12-07 15:28:19.425,21.2,35.0,147
2023-12-07 15:28:18.418,21.2,35.0,145
2023-12-07 15:28:17.419,21.2,35.0,145
2023-12-07 15:28:16.411,21.2,35.0,145
2023-12-07 15:28:15.407,21.2,35.0,145
2023-12-07 15:28:14.399,21.2,35.0,146
2023-12-07 15:28:13.396,21.2,35.0,146
2023-12-07 15:28:12.388,21.2,35.0,146
2023-12-07 15:28:11.389,21.2,35.0,147
2023-12-07 15:28:10.381,21.2,35.0,146
2023-12-07 15:28:09.377,21.2,35.0,145
2023-12-07 15:28:08.370,21.2,35.0,146
2023-12-07 15:28:07.366,21.2,35.0,146
2023-12-07 15:28:06.359,21.2,34.9,147
2023-12-07 15:28:05.359,21.2,34.9,147
2023-12-07 15:28:04.351,21.2,34.9,146
2023-12-07 15:28:03.352,21.2,34.9,144
2023-12-07 15:28:02.344,21.2,34.9,144
2023-12-07 15:28:01.344,21.2,34.9,143
2023-12-07 15:28:00.337,21.2,34.9,144
2023-12-07 15:27:59.333,21.2,34.9,146
2023-12-07 15:27:58.326,21.2,34.9,146
