date,temperature,humidity,luminosity
2023-12-21 15:07:01.421,18.1,22.5,13
2023-12-21 15:06:59.378,18.1,22.6,13
2023-12-21 15:06:57.335,18.1,22.6,13
2023-12-21 15:06:55.292,18.1,22.6,13
2023-12-21 15:06:53.249,18.1,22.5,13
2023-12-21 15:06:51.206,18.1,22.5,13
2023-12-21 15:06:49.163,18.1,22.6,13
2023-12-21 15:06:47.121,18.1,22.6,13
2023-12-21 15:06:45.077,18.1,22.5,13
2023-12-21 15:06:43.034,18.1,22.6,13
2023-12-21 15:06:40.990,18.1,22.6,13
2023-12-21 15:06:38.948,18.0,22.6,12
2023-12-21 15:06:36.905,18.1,22.6,3
2023-12-21 15:06:34.861,18.1,22.6,3
2023-12-21 15:06:32.818,18.1,22.5,3
2023-12-21 15:06:30.775,18.1,22.6,3
2023-12-21 15:06:28.732,18.1,22.5,3
2023-12-21 15:06:26.689,18.1,22.6,3
2023-12-21 15:06:24.646,18.1,22.6,3
2023-12-21 15:06:22.603,18.1,22.6,3
2023-12-21 15:06:20.560,18.1,22.6,3
2023-12-21 15:06:18.517,18.1,22.6,3
2023-12-21 15:06:16.474,18.1,22.5,3
2023-12-21 15:06:14.431,18.1,22.6,3
2023-12-21 15:06:12.388,18.1,22.6,2
2023-12-21 15:06:10.345,18.1,22.5,2
2023-12-21 15:06:08.302,18.1,22.5,2
2023-12-21 15:06:06.259,18.1,22.5,3
2023-12-21 15:06:04.220,18.1,22.6,10
2023-12-21 15:06:02.177,18.1,22.6,13
2023-12-21 15:06:00.134,18.1,22.6,13
2023-12-21 15:05:58.091,18.2,22.6,15
2023-12-21 15:05:56.047,18.2,22.5,16
2023-12-21 15:05:54.004,18.1,22.5,17
2023-12-21 15:05:51.961,18.1,22.7,17
2023-12-21 15:05:49.918,18.1,22.5,17
2023-12-21 15:05:47.875,18.2,22.6,17
2023-12-21 15:05:45.833,18.1,22.5,17
2023-12-21 15:05:43.789,18.1,22.5,17
